Holobiont,Species,Time,Region,Treatment,Sample_ID,Nubbin_ID,host_d15N,host_d13C,host_CN_molar,sym_d15N,sym_d13C,sym_CN_molar
Pver_PbairdiC. pacificum,Pocillopora,During,Lizard,Juvenile,LJ004,LJ004,4,-16.3,5.7,,,
Pver(OPI40)C. pacificum,Pocillopora,During,Lizard,Juvenile,LJ013,LJ013,4.1,-16.2,5.5,,,
PacutaC. pacificum,Pocillopora,During,Lizard,Juvenile,LJ017,LJ017,3.4,-15.1,5.4,,,
PacutaC. pacificum,Pocillopora,During,Lizard,Juvenile,LJ020,LJ020,4,-14.8,5.7,,,
PacutaC. pacificum,Pocillopora,During,Lizard,Juvenile,LJ025,LJ025,3.6,-17.2,5.5,,,
Pver(OPI40)C. pacificum,Pocillopora,During,Lizard,Juvenile,LJ026,LJ026,,-20,5.7,,,
Pver_PbairdiC. pacificum,Pocillopora,During,Lizard,Juvenile,LJ027,LJ027,3.9,-15.8,5.6,,,
Pver_PbairdiC. pacificum,Pocillopora,During,Lizard,Juvenile,LJ029,LJ029,3.7,-16.1,5.7,,,
C8 group,Stylophora,During,Lizard,Juvenile,LJ050,LJ050,4.1,-16.1,5.9,,,
C8 group,Stylophora,During,Lizard,Juvenile,LJ052,LJ052,4,-15.7,5.4,,,
C8 group,Stylophora,During,Lizard,Juvenile,LJ053,LJ053,4,-16.7,5.4,,,
C8 group,Stylophora,During,Lizard,Juvenile,LJ056,LJ056,3.8,-15.3,5.5,,,
C8 group,Stylophora,During,Lizard,Juvenile,LJ065,LJ065,3.8,-15,5.2,,,
C8 group,Stylophora,During,Lizard,Juvenile,LJ068,LJ068,3.5,-15.2,5.2,,,
C8 group,Stylophora,During,Lizard,Juvenile,LJ069,LJ069,3.7,-15.4,5.4,,,
C8 group,Stylophora,During,Lizard,Juvenile,LJ070,LJ070,4,-15.9,5.7,,,
C8 group,Stylophora,During,Lizard,Juvenile,LJ081,LJ081,3.6,-14.7,5.5,,,
C8 group,Stylophora,During,Lizard,Juvenile,LJ082,LJ082,4.1,-15.4,5.3,,,
C8 group,Stylophora,During,Lizard,Juvenile,LJ086,LJ086,3.4,-15.3,5.2,,,
C8 group,Stylophora,During,Lizard,Juvenile,LJ088,LJ088,3.6,-15.7,5.5,,,
